"address","lon","lat","as.character.d.display_name.","elapsed_time"
" Jerney utca Budapest XIV. kerület",19.1286856,47.5124953,"Jerney utca, Nagy Lajos király úti lakótelep, Alsórákos, XIV. kerület, Budapest, Közép-Magyarország, 1141, Magyarország",0.25510311126709
" Dobozi utca Budapest VIII. kerület",19.0884885,47.4907108,"Dobozi utca, Magdolna negyed, VIII. kerület, Budapest, Közép-Magyarország, 1086, Magyarország",0.261827945709229
" Belso-Terézváros Budapest VI. kerület",19.067629610228,47.51935005,"Belso udvar, Loportárdulo, Angyalföld, XIII. kerület, Budapest, Közép-Magyarország, 1134, Magyarország",0.283689022064209
" Aradi utca Budapest VI. kerület",19.0677861,47.5095832,"Aradi utca, Terézváros, VI. kerület, Budapest, Közép-Magyarország, 1064, Magyarország",0.278434038162231
" Flórián tér Budapest III. kerület",19.0394208713575,47.5405313,"Flórián tér, Óbuda-Óváros, Óbuda, III. kerület, Budapest, Közép-Magyarország, 1032, Magyarország",0.283175945281982
" Aradi utca Budapest VI. kerület",19.0677861,47.5095832,"Aradi utca, Terézváros, VI. kerület, Budapest, Közép-Magyarország, 1064, Magyarország",0.262788057327271
" Erzsébet körút Budapest VII. kerület",19.0673926,47.5018796,"Erzsébet körút, Ligetváros, Erzsébetváros, VII. kerület, Budapest, Közép-Magyarország, 1073, Magyarország",0.255836963653564
" Váci út Budapest XIII. kerület",19.0663387,47.5320392,"Váci út, Göncz Árpád városközpont, XIII. kerület, Budapest, Közép-Magyarország, 1138, Magyarország",0.264055967330933
" Angol utca Budapest XIV. kerület",19.1137855,47.5165577,"Angol utca, Kiszugló, XIV. kerület, Budapest, Közép-Magyarország, 1149, Magyarország",0.267665863037109
" Baross utca Budapest XVIII. kerület",19.171446,47.4382216,"Baross utca, Szent Lorinc-lakótelep, XVIII. kerület, Budapest, Közép-Magyarország, 1181, Magyarország",0.271315097808838
" Józsefváros – Orczynegyed Budapest VIII. kerület",NA,NA,NA,0.442249059677124
" Újpesti rakpart Budapest XIII. kerület",19.0481099,47.5158545,"Újpesti rakpart, Újlipótváros, XIII. kerület, Budapest, Közép-Magyarország, 1137, Magyarország",0.505004167556763
" Andrássy út Budapest VI. kerület",19.0652946,47.5065213,"Andrássy út, Terézváros, VI. kerület, Budapest, Közép-Magyarország, 1067, Magyarország",0.287844896316528
" Tihany utca Budapest XIV. kerület",19.1396929,47.5132958,"Tihany utca, Füredi utcai lakótelep, Alsórákos, XIV. kerület, Budapest, Közép-Magyarország, 1144, Magyarország",0.266411066055298
" Pösingermajor Budapest XI. kerület",18.9802146,47.4755654,"Pösingermajor, XI. kerület, Budapest, Közép-Magyarország, Magyarország",0.264909982681274
" Andrássy út Budapest VI. kerület",19.0652946,47.5065213,"Andrássy út, Terézváros, VI. kerület, Budapest, Közép-Magyarország, 1067, Magyarország",0.258404016494751
" Spanyolrét Budapest XI. kerület",18.9823521,47.4662884,"Spanyolrét, XI. kerület, Budapest, Közép-Magyarország, Magyarország",0.274835109710693
" Alsórákos – Füredi utcai lakótelep Budapest XIV. kerület",NA,NA,NA,0.274537086486816
" Júlia utca Budapest II. kerület",19.0056896,47.513833,"Júlia utca, Törökvész, XII. kerület, Budapest, Közép-Magyarország, 1026, Magyarország",0.258898973464966
" István utca Budapest VII. kerület",19.0851363,47.5063724,"István utca, Ligetváros, Erzsébetváros, VII. kerület, Budapest, Közép-Magyarország, 1078, Magyarország",0.267997980117798
" Táltos utca Budapest XII. kerület",19.0289905,47.4905069,"Táltos utca, Németvölgy, I. kerület, Budapest, Közép-Magyarország, 1123, Magyarország",0.266065835952759
" Tompa utca Budapest IX. kerület",19.0686928,47.4831722,"Tompa utca, Belso-Ferencváros, IX. kerület, Budapest, Közép-Magyarország, 1092, Magyarország",0.261844873428345
" Madárhegy Budapest XI. kerület",18.9885881,47.4677382,"Madárhegy, XI. kerület, Budapest, Közép-Magyarország, Magyarország",0.27916407585144
" Külso-Terézváros Budapest VI. kerület",19.0253263,47.5091897,"külso lépcso, Fény utcai piac, Országút, II. kerület, Budapest, Közép-Magyarország, 1024, Magyarország",0.290590047836304
" Belso-Ferencváros Budapest IX. kerület",19.0628229,47.4846472,"Belso-Ferencváros, IX. kerület, Budapest, Közép-Magyarország, Magyarország",0.263399124145508
" Frankel Leó út Budapest II. kerület",19.0380142,47.5125221,"Frankel Leó út, Felhévíz, II. kerület, Budapest, Közép-Magyarország, 1027, Magyarország",0.270062923431396
" Izabella utca 29. Budapest VII. kerület",19.0739367,47.5025846,"Izabella utca, Ligetváros, Erzsébetváros, VII. kerület, Budapest, Közép-Magyarország, 1077, Magyarország",0.299520015716553
" Szalag utca Budapest I. kerület",19.0378695,47.502829,"Szalag utca, Víziváros, I. kerület, Budapest, Közép-Magyarország, 1011, Magyarország",0.263120889663696
" Váci út Budapest XIII. kerület",19.0663387,47.5320392,"Váci út, Göncz Árpád városközpont, XIII. kerület, Budapest, Közép-Magyarország, 1138, Magyarország",0.286798000335693
" Csepel-Ófalu Budapest XXI. kerület",19.0616885,47.438126,"Csepel-Ófalu, XXI. kerület, Budapest, Közép-Magyarország, Magyarország",0.264037847518921
" Börzsöny utca Budapest IX. kerület",19.1126795,47.4632477,"Börzsöny utca, József Attila lakótelep, József Attila-lakótelep, IX. kerület, Budapest, Közép-Magyarország, 1098, Magyarország",0.269953966140747
" Fehérvári út Budapest XI. kerület",19.03863,47.4520722,"Fehérvári út, Nádorliget-lakópark, Kelenföld, XI. kerület, Budapest, Közép-Magyarország, 1116, Magyarország",0.279086112976074
" Józsefváros – Magdolnanegyed Budapest VIII. kerület",NA,NA,NA,0.276110887527466
" Kiss János altábornagy utca Budapest XXI. kerület",19.0717825,47.4319505,"Kiss János altábornagy utca, Csepel-Belváros, XXI. kerület, Budapest, Közép-Magyarország, 1211, Magyarország",0.268947839736938
" Viola utca Budapest IX. kerület",19.0758644,47.4811591,"Viola utca, Középso-Ferencváros, IX. kerület, Budapest, Közép-Magyarország, 1094, Magyarország",0.276682138442993
" Kapy utca Budapest II. kerület",18.9992194,47.5284946,"Kapy utca, Törökvész, II. kerület, Budapest, Közép-Magyarország, 1025, Magyarország",0.268162965774536
" Bem rakpart Budapest I. kerület",19.0392872,47.5119427,"Bem rakpart, Országút, II. kerület, Budapest, Közép-Magyarország, 1027, Magyarország",0.276144027709961
" Angyalföldi út Budapest XIII. kerület",19.068114,47.5311822,"Angyalföldi út, Országbíró utcai lakótelep, Angyalföld, XIII. kerület, Budapest, Közép-Magyarország, 1134, Magyarország",0.268887996673584
" Futár utca 34. Budapest XIII. kerület",19.0915271,47.5383129,"34, Futár utca, Angyalföld-Kertváros, Angyalföld, XIII. kerület, Budapest, Közép-Magyarország, 1131, Magyarország",0.27155590057373
" Vizafogó Budapest XIII. kerület",19.0643263,47.5369144,"Vizafogó, XIII. kerület, Budapest, Közép-Magyarország, 1138, Magyarország",0.272258996963501
" Ormánság utca Budapest XIV. kerület",19.1442642,47.512102,"Ormánság utca, Füredi utcai lakótelep, Alsórákos, XIV. kerület, Budapest, Közép-Magyarország, 1144, Magyarország",0.268455028533936
" Királyok útja Budapest III. kerület",19.0679537,47.5986904,"Királyok útja, Pünkösdfürdo, Békásmegyer, III. kerület, Budapest, Közép-Magyarország, 1039, Magyarország",0.258134841918945
" Dohány utca Budapest VII. kerület",19.0731655,47.5004479,"Dohány utca, Ligetváros, Erzsébetváros, VII. kerület, Budapest, Közép-Magyarország, 1074, Magyarország",0.277988910675049
" Béke utca Budapest XIII. kerület",19.0899585,47.5474206,"Béke utca, Angyalföld-Kertváros, Angyalföld, XIII. kerület, Budapest, Közép-Magyarország, 1131, Magyarország",0.271002054214478
" Hernád utca Budapest VII. kerület",19.0851269,47.5022823,"Hernád utca, Ligetváros, Erzsébetváros, VII. kerület, Budapest, Közép-Magyarország, 1076, Magyarország",0.261498928070068
" Törökor Budapest XIV. kerület",19.1115031,47.5074376,"Törökor, XIV. kerület, Budapest, Közép-Magyarország, Magyarország",0.266273975372314
" Egressy út Budapest XIV. kerület",19.1304674,47.5224002,"Egressy út, Paskál lakópark, Alsórákos, XIV. kerület, Budapest, Közép-Magyarország, 1141, Magyarország",0.26664400100708
" Dayka tér Budapest XI. kerület",19.0160442894731,47.47513035,"Dayka tér, Sasad, XI. kerület, Budapest, Közép-Magyarország, 1118, Magyarország",0.267521858215332
" Kelenföld Budapest XI. kerület",19.0411082,47.465171,"Kelenföld, XI. kerület, Budapest, Közép-Magyarország, Magyarország",0.450426816940308
" Lipótváros Budapest V. kerület",19.0503804,47.5045431,"Lipótváros, V. kerület, Budapest, Közép-Magyarország, Magyarország",0.549018144607544
" Albert utca Budapest XI. kerület",19.037959,47.4560789,"Albert utca, Nádorliget-lakópark, Kelenföld, XI. kerület, Budapest, Közép-Magyarország, 1119, Magyarország",0.495037078857422
" Törökko – Gyógyszergyár utcai lakótelep Budapest III. kerület",NA,NA,NA,0.293537855148315
" Szemere utca Budapest V. kerület",19.05111,47.5091017,"Szemere utca, Lipótváros, V. kerület, Budapest, Közép-Magyarország, 1054, Magyarország",0.256781101226807
" Király utca Budapest VII. kerület",19.0658057,47.5034778,"Király utca, Terézváros, VI. kerület, Budapest, Közép-Magyarország, 1073, Magyarország",0.256765842437744
" Vörösvári út Budapest III. kerület",19.040012,47.5416529,"Vörösvári út, Óbuda-Óváros, Óbuda, III. kerület, Budapest, Közép-Magyarország, 1035, Magyarország",0.276350021362305
